initiative_id,report_id,company_canonical,company_name_fixed,industry_sector,ownership_type,year_of_report,ESG_block_norm,theme_tag,collab_type_short,collaboration_model,driver_primary,initiative_title,initiative_title_source,initiative_description,outputs_or_outcomes,KPI_present,KPI_list,geography,actors_involved,evidence_file_name,page_primary,evidence_page_numbers,evidence_quote_15w,evidence_excerpt,confidence,qa_reasons
CN026-I005,CN026,Fosun,Fosun,Transportation & Logistics,not stated,2024,X,SDG_alignment,BN,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Sdg Alignment initiative (BN),label_fallback,"145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 Approach to Sustainability Work Technology Innovation-Driven Advanced Governance Business for Good Green Development People and Partner Oriented Responsible Operation 6.3 Climate Change and Energy To address climate change, the Company joined UN Global Compact in August 2014 and made a global commitment to support global sustainable development and promote the achievement of the UN SDGs through participating in related activities globally and locally.","145, 146, 2024, 2024, 6.3",yes,not stated,not stated,UN Global Compact in August; UN SDGs through participating in related activities globally and,Fosun 2024.pdf,74,74,"145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 Approach","145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 Approach to Sustainability Work Technology Innovation-Driven Advanced Governance Business for Good Green Development People and Partner Oriented Responsible Operation 6.3 Climate Change and Energy To address climate change, the Company joined UN Global Compact in August 2014 and made a global",High,OK
CN026-I007,CN026,Fosun,Fosun,Transportation & Logistics,not stated,2024,X,innovation_green_tech,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun",first_sentence,"From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun e+"" Digital Philanthropy Event in collaboration with platforms such as Tencent Foundation and Alipay Philanthropy Platform.","5, 9, 2024",yes,not stated,not stated,Digital Philanthropy Event in collaboration with platforms such as Tencent Foundation; Fosun Foundation,Fosun 2024.pdf,80,80,"From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun e+"" Digital Philanthropy","From September 5 to 9, 2024, Fosun Foundation launched the first ""Fosun e+"" Digital Philanthropy Event in collaboration with platforms such as Tencent Foundation and Alipay Philanthropy Platform.",High,OK
CN027-I002,CN027,Foxconn Industrial Internet,Foxconn Industrial Internet,Manufacturing & Electronics,not stated,2024,X,SDG_alignment,BN,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its",first_sentence,"In 2024, Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its commitment to advancing the UN Sustainable Development Goals (SDGs) and collaborating with partners to drive balanced global progress across economic, social, and environmental dimensions.",2024,yes,not stated,not stated,UN Sustainable Development Goals,Foxconn Industrial Internet 2024.pdf,4,4,"In 2024, Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its commitment","In 2024, Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its commitment to advancing the UN Sustainable Development Goals (SDGs) and collaborating with partners to drive balanced global progress across economic, social, and environmental dimensions.",High,OK
CN027-I004,CN027,Foxconn Industrial Internet,Foxconn Industrial Internet,Manufacturing & Electronics,not stated,2024,X,SDG_alignment,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Fii officially launched the “Action in Response to the UN SDGs” (hereinafter,first_sentence,"In 2023, Fii officially launched the “Action in Response to the UN SDGs” (hereinafter referred to as the “Fii SDG Action”), integrating the SDGs into its strategic development framework.",2023,yes,not stated,not stated,UN SDGs,Foxconn Industrial Internet 2024.pdf,25,25,"In 2023, Fii officially launched the “Action in Response to the UN SDGs” (hereinafter referred","In 2023, Fii officially launched the “Action in Response to the UN SDGs” (hereinafter referred to as the “Fii SDG Action”), integrating the SDGs into its strategic development framework.",High,OK
CN027-I006,CN027,Foxconn Industrial Internet,Foxconn Industrial Internet,Manufacturing & Electronics,not stated,2024,G,risk_management,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Risk Management initiative (BN),label_fallback,"To achieve “responsible operation and sustainable development”, our vision is built upon three key pillars: Business Continuity Management (BCM), ESG, and the UN SDGs.",Not stated / Not found,no,not stated,not stated,UN SDGs,Foxconn Industrial Internet 2024.pdf,19,19,"To achieve “responsible operation and sustainable development”, our vision is built upon three key pillars:","To achieve “responsible operation and sustainable development”, our vision is built upon three key pillars: Business Continuity Management (BCM), ESG, and the UN SDGs.",High,OK
CN028-I003,CN028,GCL,GCL,Energy & Utilities,not stated,2024,E,biodiversity_ecosystems,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"we made donations worth tens of thousands of yuan to biodiversity-themed campaigns,",first_sentence,"In 2024, we made donations worth tens of thousands of yuan to biodiversity-themed campaigns, including the Endangered Species Protection Program and the 2024 National Birdwatching Festival, both initiated by the SEE Foundation.","2024, 2024",yes,not stated,not stated,SEE Foundation,GCL 2024.pdf,31,31,"In 2024, we made donations worth tens of thousands of yuan to biodiversity-themed campaigns, including","In 2024, we made donations worth tens of thousands of yuan to biodiversity-themed campaigns, including the Endangered Species Protection Program and the 2024 National Birdwatching Festival, both initiated by the SEE Foundation.",High,OK
CN028-I004,CN028,GCL,GCL,Energy & Utilities,not stated,2024,S,training_education,BS,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,50 employees graduated from a joint education program with China University of,first_sentence,"In 2024, 50 employees graduated from a joint education program with China University of Petroleum; a cooperative education program with Jiangsu University is in progress, with 26 employees expected to graduate in 2025; 14 employees are projected to graduate in 2026 through a joint training program with Zhongwei Senior Technical School for advanced technical professionals.","2024, 50, 26, 2025, 14",yes,not stated,multiple,China University; Jiangsu University,GCL 2024.pdf,47,47,"In 2024, 50 employees graduated from a joint education program with China University of Petroleum;","In 2024, 50 employees graduated from a joint education program with China University of Petroleum; a cooperative education program with Jiangsu University is in progress, with 26 employees expected to graduate in 2025; 14 employees are projected to graduate in 2026 through a joint training program with Zhongwei Senior Technical School for advanced technical professionals.",High,OK
CN030-I001,CN030,GEM Co.,GEM Co.,Renewables & Clean Tech,state-owned,2024,E,emissions_reduction,BN,D) Business-led voluntary collaboration (partners/NGOs/community),iv) NGO expertise/problem-solving,Emissions Reduction initiative (BN),label_fallback,"07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs Independent directors and female directors accounted for 33.3% and 16.7% of the members of the Board of Directors, respectively Continuously optimized corporate governance and established a compliance management system, with four subsidiaries already granted the ISO 37301 compliance certification Launched open-door factory events, with 1,605 sessions organized in 2024, generating 21,754 visits 100% of employees participated in anti-corruption training, and 100% of suppliers received anti-corruption training Corporate governance Governance Environmental Addressing climate change A total of 35 products have completed carbon footprint certification, covering the carbon footprint of the entire core product supply chain Generated 19.34 million kWh of electricity from solar power, purchased 3.766 million kWh of green electricity, and supplied 138,000 tons of steam via biomass boilers, resulting in an approximate reduction of 58,500 tons of carbon emissions Reduced carbon emission intensity of core product operations by 10.12% compared to the previous year Three green supply chain demonstration enterprises; six national green factories; one zero-carbon factory The world’s first PP plastic recycling and regeneration carbon reduction project approved under the International Greenhouse Gas Carbon Standard (VCS) Environmental management Invested RMB730 million in environmental protection throughout the year Experienced 0 environmental incidents harmful to society, 0 major excessive emissions incidents, and 0 administrative penalties due to environmental violations Saved 4.5814 million tons of water during the year Conducted two rounds of environmental inspections across the Group, identifying 246 environmental hazards, with 238 rectified, a rectification rate of 96.75% The intensity of chemical oxygen demand (COD), particulate matter emissions, nitrogen oxide emissions, and water usage in domestic parks has declined for two consecutive years 27 subsidiaries obtained ISO 14001 certification, achieving 100% coverage of all key pollution discharge units Society Employees Employees come from 21 ethnic minority groups, with minority representation increasing by approximately 2.38% year on year Employee turnover rate was 9.03%, which is relatively low compared to industry standards, with employee satisfaction continuing to improve Over 5,000 Indonesian employees were hired, contributing to local employment in Indonesia Female engagement in corporate governance was encouraged, with women accounting for 19.15% of management positions, achieving governance diversity Hosted four cohorts of Master's and PhD programs for engineering, training a total of 183 Indonesian advanced professionals, including masters and doctors, in metallurgy, rail transit, and international trade Circular economy The urban mining business achieved an average recycling volume growth of 70%, generating a revenue of RMB7.437 billion The recycling business reduced carbon emissions by 1.1064 million tons, a 54.61% increase year on year Recycled nickel materials account for 12.32% of the total nickel resources used Participated in the formulation of the national standard Requirements of the Greenhouse Gas Emissions Accounting and Reporting - Part 46: Waste Battery Treatment and Disposal Enterprise Included in the UNGC’s “20 Cases Examples for 20 Years, Private Sector’s Sustainable Development in China” Report The case “GEM’s Disassembly and Second-Life Utilization of Power Batteries Pave New Paths for Pollution Reduction and Carbon Reduction” was shortlisted for the first batch of recommended cases in the UN Basel Convention Regional Center for Asia and the Pacific’s “Waste-Free Cities” pollution reduction and carbon reduction collaboration and efficiency program GEM was selected as the only lithium recycling demonstration enterprise in the “China’s Recycled Aluminum, Lead, Zinc, and Lithium Industry Green Production and Sustainable Development Project” by the Global Environment Facility As the only Chinese company, GEM was included by The Paper’s “Path Toward a Sustainable Future: Multinational Circular Actions” Top 10 Circular Economy Cases of the Past 20 Years in China As a founding member of the Battery ID Organization, GEM was awarded the first batch of China’s digital battery IDs Category Annual Highlights Relevant SDGs Society Innovation- driven development Significant breakthroughs in urban mining innovation technology, with the National Energy Metal Resources and New Materials Key Laboratory inaugurated Major advancements in battery recycling technologies, including ungluing and intelligent disassembly technologies, as well as breakthroughs in the recycling of key minerals such as lithium, tungsten, scandium, germanium, and rare earth elements Continuously developed the “Five-in-One” innovation platform, with R&D investment reaching RMB1,444 million, accounting for 4.35% of revenue Jointly established the China-Indonesia Joint Research Laboratory for New Energy Materials and Metallurgical Engineering Technology QMB Park in Indonesia achieved CNAS National Laboratory Accreditation Successfully launched the world's first 1,168 cubic meter ultra-high pressure hydrometallurgical reactor in the global nickel industry Supply chain management GEM-branded electrolytic nickel successfully registered on the Shanghai Futures Exchange GEM-CO-branded electrolytic cobalt successfully registered as a deliverable brand on the London Metal Exchange (LME) Conducted due diligence management audits on mineral supply chains at major production parks, covering key minerals including nickel, cobalt, and tungsten QMB became the first in Indonesia to achieve dual RMI certification for both nickel and cobalt metals Formed a globally competitive alliance for the “Nickel Resource – Precursor – Ternary Materials” supply chain by partnering with industry players in China, South Korea, and Indonesia Signed an agreement with PT Vale Indonesia Tbk to jointly build a green nickel high-pressure acid leach (HPAL) plant.","07, 08, 33.3, 16.7, 37301",yes,GHG emissions; carbon emissions; emissions intensity; employee turnover rate; anti-corruption training,multiple,International Greenhouse Gas Carbon Standard; UN Basel Convention Regional Center for Asia and the Pacific,GEM Co..pdf,5,5,07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs Independent directors and female,"07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs Independent directors and female directors accounted for 33.3% and 16.7% of the members of the Board of Directors, respectively Continuously optimized corporate governance and established a compliance management system, with four subsidiaries already granted the ISO 37301 compliance certification Launched open-door fac",High,OK
CN030-I002,CN030,GEM Co.,GEM Co.,Renewables & Clean Tech,state-owned,2024,X,innovation_green_tech,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Strengthening the Business Foundation and Opening up Channels for Growth,first_sentence,"Strengthening the Business Foundation and Opening up Channels for Growth: GEM Holds the 2023 Full- Year and 2024 Q1 Performance Briefing On May 9, 2024, GEM held its 2023 Full-Year and 2024 Q1 Performance Briefing simultaneously at the GEM (Shenzhen) Super Green Technology Institute and GEM Indonesia QMB Park.","2023, 2024, 9, 2024, 2023",yes,not stated,multiple,Strengthening the Business Foundation,GEM Co..pdf,15,15,Strengthening the Business Foundation and Opening up Channels for Growth: GEM Holds the 2023 Full-,"Strengthening the Business Foundation and Opening up Channels for Growth: GEM Holds the 2023 Full- Year and 2024 Q1 Performance Briefing On May 9, 2024, GEM held its 2023 Full-Year and 2024 Q1 Performance Briefing simultaneously at the GEM (Shenzhen) Super Green Technology Institute and GEM Indonesia QMB Park.",High,OK
CN030-I004,CN030,GEM Co.,GEM Co.,Renewables & Clean Tech,state-owned,2024,S,training_education,BG,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program,first_sentence,"Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program Opening Ceremony of GEM’s 4th China-Indonesia International Joint Master’s Program On December 11, 2024, the opening ceremony of the 4th batch of the “Indonesia Government–GEM–Central South University” International Joint Engineering Master’s Program was held simultaneously in Central South University and Indonesia.","2024, 2024, 11, 2024",yes,not stated,multiple,Central South University; International Joint Engineering Master; International Joint Master; Program was held simultaneously in Central South University,GEM Co..pdf,41,41,Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program Opening Ceremony of,"Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program Opening Ceremony of GEM’s 4th China-Indonesia International Joint Master’s Program On December 11, 2024, the opening ceremony of the 4th batch of the “Indonesia Government–GEM–Central South University” International Joint Engineering Master’s Program was held simultaneously in Central South University and Indones",High,OK
CN031-I001,CN031,Glodon,Glodon,Technology & Internet,not stated,2024,X,innovation_green_tech,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"2021 Collaborated with industry, academia, and research institutions to lead the Ministry",first_sentence,"2021 Collaborated with industry, academia, and research institutions to lead the Ministry of Science and Technology’s “National Key R&D Program – Key Technology Research and Demonstration of City Information Modeling (CIM) Platforms.” 2023 Launched the Glodon Business Platform, a PaaS platform for core digital capabilities in the construction industry.","2021, 2023",yes,not stated,not stated,Ministry of Science and Technology,Glodon 2024.pdf,9,9,"2021 Collaborated with industry, academia, and research institutions to lead the Ministry of Science and","2021 Collaborated with industry, academia, and research institutions to lead the Ministry of Science and Technology’s “National Key R&D Program – Key Technology Research and Demonstration of City Information Modeling (CIM) Platforms.” 2023 Launched the Glodon Business Platform, a PaaS platform for core digital capabilities in the construction industry.",High,OK
CN032-I001,CN032,Gree,Gree,Manufacturing & Electronics,not stated,2024,E,renewable_energy,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Renewable Energy initiative (BG),label_fallback,"China Unicom 5G base stations, photovoltaics, energy storage applications Jointly built up China’s first end-to-end hard slicing solution, the first provincial 5G LAN commercial- grade pilot site; selected for two national innovation projects by the Ministry of Industry and Information Technology (MIIT) and the National Development and Reform Commission (NDRC).",Not stated / Not found,no,not stated,national,Ministry of Industry and Information Technology,Gree 2024.pdf,28,28,"China Unicom 5G base stations, photovoltaics, energy storage applications Jointly built up China’s first end-to-end","China Unicom 5G base stations, photovoltaics, energy storage applications Jointly built up China’s first end-to-end hard slicing solution, the first provincial 5G LAN commercial- grade pilot site; selected for two national innovation projects by the Ministry of Industry and Information Technology (MIIT) and the National Development and Reform Commission (NDRC).",High,OK
CN032-I002,CN032,Gree,Gree,Manufacturing & Electronics,not stated,2024,E,renewable_energy,BG,A) Government mandate / compliance-driven,i) regulation/government policy,Renewable Energy initiative (BG),label_fallback,"Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree Electric Participates in the SNEC 17th International Photovoltaic Power Generation and Smart Energy (Shanghai) Conference To thoroughly implement the decisions made by the Central Government, State Council, and provincial and municipal governments regarding large-scale equipment updates and the replacement of old consumer goods, the Company, together with the Sichuan Energy Conservation Association and Sichuan Construction Technology Association, co-hosted the “Sichuan Province 2024 Large-Scale Equipment Update and HVAC Industry Technical Exchange Summit”, aiming to explore methods for equipment upgrades in the HVAC and refrigeration sectors within existing buildings, promote technological advancements, and encourage the transformation and upgrading of key industries, thus driving high-quality development in the HVAC sector.",2024,yes,not stated,Shanghai,International Photovoltaic Power Generation and Smart Energy,Gree 2024.pdf,51,51,Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree Electric Participates in the SNEC,"Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree Electric Participates in the SNEC 17th International Photovoltaic Power Generation and Smart Energy (Shanghai) Conference To thoroughly implement the decisions made by the Central Government, State Council, and provincial and municipal governments regarding large-scale equipment updates and the replacement of old consume",High,OK
CN032-I004,CN032,Gree,Gree,Manufacturing & Electronics,not stated,2024,X,innovation_green_tech,BS,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BS),label_fallback,"Class of Special Courses Key Universities and Enterprises Exchange Meeting University Student Innovation Practice Camp University-Enterprise Cooperation Gree Electric’s 2024 College Student Innovation Practice Camp, empowering 100 students’ career development In August 2024, Gree Electric held the “Create and Share” GREE Week - the 2024 College Student Innovation Practice Camp - in Xiangzhou District, Zhuhai.","2024, 100, 2024, 2024",yes,not stated,not stated,Class of Special Courses Key Universities and Enterprises Exchange Meeting University; Student Innovation Practice Camp University,Gree 2024.pdf,61,61,Class of Special Courses Key Universities and Enterprises Exchange Meeting University Student Innovation Practice Camp,"Class of Special Courses Key Universities and Enterprises Exchange Meeting University Student Innovation Practice Camp University-Enterprise Cooperation Gree Electric’s 2024 College Student Innovation Practice Camp, empowering 100 students’ career development In August 2024, Gree Electric held the “Create and Share” GREE Week - the 2024 College Student Innovation Practice Camp - in Xiangzhou Distr",High,OK
CN032-I005,CN032,Gree,Gree,Manufacturing & Electronics,not stated,2024,X,innovation_green_tech,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BG),label_fallback,"Additionally, in response to the Implementation Plan for Promoting Employee Mental Health Services by the Guangdong Provincial Federation of Trade Unions, the Company’s Labor Union, in collaboration with the Qianshan Sub-district Office in Zhuhai’s Xiangzhou District, established an Psychological Well-being Station for employees in the first half of 2024.",2024,yes,not stated,Guangdong,Plan for Promoting Employee Mental Health Services by the Guangdong Provincial Federation of Trade Unions,Gree 2024.pdf,64,64,"Additionally, in response to the Implementation Plan for Promoting Employee Mental Health Services by the","Additionally, in response to the Implementation Plan for Promoting Employee Mental Health Services by the Guangdong Provincial Federation of Trade Unions, the Company’s Labor Union, in collaboration with the Qianshan Sub-district Office in Zhuhai’s Xiangzhou District, established an Psychological Well-being Station for employees in the first half of 2024.",High,OK
CN034-I001,CN034,Haier,"Jan 1 – Dec 31, 2024",Manufacturing & Electronics,not stated,2024,X,innovation_green_tech,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BN),label_fallback,"• Cash for Kids Mission Christmas: For the third year in 2024, Haier UK supported the initiative, sorting gifts and donating 88 toys, with the Hoover Foundation adding £220 to ensure Christmas presents for disadvantaged children.","2024, 88, 220",yes,not stated,not stated,Hoover Foundation,Haier 2024.pdf,73,73,"• Cash for Kids Mission Christmas: For the third year in 2024, Haier UK supported","• Cash for Kids Mission Christmas: For the third year in 2024, Haier UK supported the initiative, sorting gifts and donating 88 toys, with the Hoover Foundation adding £220 to ensure Christmas presents for disadvantaged children.",High,OK
CN038-I003,CN038,Hisense,Hisense,Manufacturing & Electronics,not stated,2023,G,compliance_anti_corruption,BN,A) Government mandate / compliance-driven,i) regulation/government policy,Compliance Anti Corruption initiative (BN),label_fallback,"◦Emphasized the significance of manufacturing ◦Expanded B2B operations overseas ◦Introduced China's inaugural fully self-developed 8K AI picture quality chip ◦Became an official sponsor of the 2022 FIFA World Cup ◦Acquired Kolon ◦Developed China's first industrialized digital video processing chip with independent intellectual property rights, Hisense Chip Entered the commercial air conditioning sector Launched Hisense's TV LCD module production line Led the development of internation- al industry standards Initiated the Intelligent Strategy Launched SoC-image quality Smart TVs Became an official sponsor of the 2018 FIFA World Cup Comprehensively upgraded corporate vision and values Commenced operations at Hisense's new R&D center Became the first Chinese sponsor of the Eurocup ASKO and Gorenje joined the Hisense family Hisense's laser TVs, social TVs, fresh air conditioners, vacuum refrigerators, color ultrasound machines, and other products continued to captivate the market Officially debuted Hisense's first LED LCD TV Recognized with the 10th National Quality Award Established an industrial strategy centered on ""Intelligent Strategy"" 2023 Environmental, Social and Governance Report Building Green Homes to Share Environmental Responsibility Optimising Product Experience with Supreme Quality Building Inclusive Workplace under the Culture of ""For Good"" Collaborating and Empowering to Create Diversified Value Strengthen the Foundation for Operation Compliance and Soundness Introduction Appendix Towards Green, Embracing Green Intelligent Technology 08 Going Global with Technology and Love Going First","2022, 2018, 2023, 08",yes,not stated,national,Collaborating and Empowering to Create Diversified Value Strengthen the Foundation,Hisense  2024.pdf,10,10,◦Emphasized the significance of manufacturing ◦Expanded B2B operations overseas ◦Introduced China's inaugural fully self-developed 8K,"◦Emphasized the significance of manufacturing ◦Expanded B2B operations overseas ◦Introduced China's inaugural fully self-developed 8K AI picture quality chip ◦Became an official sponsor of the 2022 FIFA World Cup ◦Acquired Kolon ◦Developed China's first industrialized digital video processing chip with independent intellectual property rights, Hisense Chip Entered the commercial air conditioning s",High,OK
CN038-I004,CN038,Hisense,Hisense,Manufacturing & Electronics,not stated,2023,S,training_education,BN,A) Government mandate / compliance-driven,i) regulation/government policy,Training Education initiative (BN),label_fallback,"Talent Training System Three-year systematic training programme for new employees Operator （Business Leader） Manager （Function Leader） Manager （Leadership Leader） Manager （Leader of Others） New Employee /Executive （Individual Contributor） New tenure On-the-job Potential General Manager Become a Motivational Leader Summit Program （Senior Management） Enhance leader productivity Trust and Motivation Program Junior Management （conducted by each company） Intermediate Management （conducted by each company） New General Manager Transformation Program (NGMT） Know and accelerate the transformational role of business leader Trust and Seal Program Inherit values and reinforce business ideas Management Qualification Course System Unify thinking and language in management New Senior Management Transformation Program（NSMT） Know and accelerate the transformational role of function leader New Middle Management Transformation Program (NMMT) Know and accelerate the transformational role of leadership leader New Junior Management Transformation Program (NJMT) Know and accelerate the transformational role of leader of others Reservoir Building Green Homes to Share Environmental Responsibility Optimising Product Experience with Supreme Quality Building Inclusive Workplace under the Culture of ""For Good"" Collaborating and Empowering to Create Diversified Value Strengthen the Foundation for Operation Compliance and Soundness Introduction Appendix Towards Green, Embracing Green Intelligent Technology 50 Going Global with Technology and Love Going First",50,yes,not stated,not stated,Collaborating and Empowering to Create Diversified Value Strengthen the Foundation,Hisense  2024.pdf,52,52,Talent Training System Three-year systematic training programme for new employees Operator （Business Leader） Manager （Function,Talent Training System Three-year systematic training programme for new employees Operator （Business Leader） Manager （Function Leader） Manager （Leadership Leader） Manager （Leader of Others） New Employee /Executive （Individual Contributor） New tenure On-the-job Potential General Manager Become a Motivational Leader Summit Program （Senior Management） Enhance leader productivity Trust and Motivation,High,OK
CN038-I006,CN038,Hisense,Hisense,Manufacturing & Electronics,not stated,2023,S,training_education,BN,A) Government mandate / compliance-driven,i) regulation/government policy,Training Education initiative (BN),label_fallback,"East-West Collaboration Marine Culture Exchange Camp Program Successfully Held CASE Hisense School Empowers Education Development Qingdao Youth Marine Culture Exchange Camp Program Building Green Homes to Share Environmental Responsibility Optimising Product Experience with Supreme Quality Building Inclusive Workplace under the Culture of ""For Good"" Collaborating and Empowering to Create Diversified Value Strengthen the Foundation for Operation Compliance and Soundness Introduction Appendix Towards Green, Embracing Green Intelligent Technology 74 Going Global with Technology and Love Going First",74,yes,not stated,not stated,Collaborating and Empowering to Create Diversified Value Strengthen the Foundation,Hisense  2024.pdf,76,76,East-West Collaboration Marine Culture Exchange Camp Program Successfully Held CASE Hisense School Empowers Education Development,"East-West Collaboration Marine Culture Exchange Camp Program Successfully Held CASE Hisense School Empowers Education Development Qingdao Youth Marine Culture Exchange Camp Program Building Green Homes to Share Environmental Responsibility Optimising Product Experience with Supreme Quality Building Inclusive Workplace under the Culture of ""For Good"" Collaborating and Empowering to Create Diversifi",High,OK
CN038-I007,CN038,Hisense,Hisense,Manufacturing & Electronics,not stated,2023,S,training_education,BS,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Training Education initiative (BS),label_fallback,"In September 2023, Hisense established the HVAC Academy at Tashkent International University in Uzbekistan, relying on Hisense's advantages in R&D, manufacturing and service of multi-connected central air conditioning products, it enrolls students from five Central Asian countries to cultivate talents in technology, sales and service, and to boost the local HVAC industry.",2023,yes,not stated,not stated,Hisense established the HVAC Academy at Tashkent International University; International University in Uzbekistan,Hisense  2024.pdf,78,78,"In September 2023, Hisense established the HVAC Academy at Tashkent International University in Uzbekistan, relying","In September 2023, Hisense established the HVAC Academy at Tashkent International University in Uzbekistan, relying on Hisense's advantages in R&D, manufacturing and service of multi-connected central air conditioning products, it enrolls students from five Central Asian countries to cultivate talents in technology, sales and service, and to boost the local HVAC industry.",High,OK
CN041-I001,CN041,iFlyTEK,iFlyTEK,Technology & Internet,state-owned,2024,X,innovation_green_tech,BS,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BS),label_fallback,"In April 2024, Xunfei Healthcare, West China Hospital affiliated to Sichuan University, and Huawei entered into a tripartite strategic cooperation agreement, under which the three parties agree to deepen cooperation in key areas such as innovative medical service models, improving medical experiences, and the application of large language model capabilities in healthcare, aiming to promote the development of AI in hospitals and enhance public healthcare.",2024,yes,not stated,national,West China Hospital affiliated to Sichuan University,iFlyTEK 2024.pdf,18,18,"In April 2024, Xunfei Healthcare, West China Hospital affiliated to Sichuan University, and Huawei entered","In April 2024, Xunfei Healthcare, West China Hospital affiliated to Sichuan University, and Huawei entered into a tripartite strategic cooperation agreement, under which the three parties agree to deepen cooperation in key areas such as innovative medical service models, improving medical experiences, and the application of large language model capabilities in healthcare, aiming to promote the dev",High,OK
CN041-I002,CN041,iFlyTEK,iFlyTEK,Technology & Internet,state-owned,2024,X,innovation_green_tech,BS,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Innovation Green Tech initiative (BS),label_fallback,"The Company worked with Sunshine Insurance, Tsinghua University's PBC School of Finance, the Insurance Society of China, and other groups to release the ""White Paper on Deep Empowerment of the Insurance Industry through Large Model Technology 2024."" This white paper explores how large language models can be utilized in insurance and its value chain.",2024,yes,not stated,national,Tsinghua University,iFlyTEK 2024.pdf,26,26,"The Company worked with Sunshine Insurance, Tsinghua University's PBC School of Finance, the Insurance Society","The Company worked with Sunshine Insurance, Tsinghua University's PBC School of Finance, the Insurance Society of China, and other groups to release the ""White Paper on Deep Empowerment of the Insurance Industry through Large Model Technology 2024."" This white paper explores how large language models can be utilized in insurance and its value chain.",High,OK
CN041-I004,CN041,iFlyTEK,iFlyTEK,Technology & Internet,state-owned,2024,S,training_education,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,A series of pilot smart homework projects have been implemented in Xiaoshan,first_sentence,"A series of pilot smart homework projects have been implemented in Xiaoshan District and Zhuji City in Zhejiang, Xuanwu District in Nanjing City, among which the provincial smart system of Ningxia Province was selected by China's Ministry of Education as a benchmarks for digital transformation.",Not stated / Not found,no,not stated,multiple,Ministry of Education as a benchmarks for digital transformation,iFlyTEK 2024.pdf,15,15,A series of pilot smart homework projects have been implemented in Xiaoshan District and Zhuji,"A series of pilot smart homework projects have been implemented in Xiaoshan District and Zhuji City in Zhejiang, Xuanwu District in Nanjing City, among which the provincial smart system of Ningxia Province was selected by China's Ministry of Education as a benchmarks for digital transformation.",High,OK
